cell,species,cell_types,genes,genome
154,Thermoflexaceae_154,1,,
155,Caldilineaceae_155,1,4173,
156,Herpetosiphonaceae_156,1,5654,
157,Kallotenuaceae_157,1,,
158,Chloroflexaceae_158,1,4004.33,
159,Roseiflexaceae_159,1,4509,
160,Thermomicrobiaceae_160,1,2901,
161,Sphaerobacteraceae_161,1,3585,
162,Ktedonobacteraceae_162,1,,
163,Thermosporotrichaceae_163,1,,
164,Thermogemmatisporaceae_164,1,,
165,Thermaceae_165,1,2831.83,
166,Trueperaceae_166,1,3046,
167,Deinococcaceae_167,1,3622,
168,Cryptosporangiaceae_168,1,,
169,Kineosporiaceae_169,1,4785,
170,Sporichthyaceae_170,1,,
171,Actinopolysporaceae_171,1,,
172,Pseudonocardiaceae_172,1,,
173,Frankiaceae_173,1,5941.5,
174,Nocardiaceae_174,1,5591,
175,Mycobacteriaceae_175,1,5104.83,
176,Gordoniaceae_176,1,5214.75,
177,Segniliparaceae_177,1,3126,
178,Dietziaceae_178,1,,
179,Tsukamurellaceae_179,1,4391,
180,Corynebacteriaceae_180,1,2581.53,
181,Streptomycetaceae_181,1,7653.27,
182,Nocardiopsaceae_182,1,,
183,Thermomonosporaceae_183,1,5061,
184,Thermomonosporaceae_184,1,5061,
185,Streptosporangiaceae_185,1,2924.5,
186,Propionibacteriaceae_186,1,3146.75,
187,Actinopolymorphaceae_187,1,,
188,Nocardioidaceae_188,1,4465.17,
189,Kribbellaceae_189,1,7149,
190,Bogoriellaceae_190,1,,
191,Jonesiaceae_191,1,2635,
192,Bifidobacteriaceae_192,1,1928.11,
193,Ruaniaceae_193,1,,
194,Beutenbergiaceae_194,1,4278,
195,Bogoriellaceae_195,1,,
196,Bogoriellaceae_196,1,,
197,Tropherymataceae_197,1,864,
198,Cellulomonadaceae_198,1,3839.67,
199,Cellulomonadaceae_199,1,3839.67,
200,Promicromonosporaceae_200,1,7319.5,
201,Cellulomonadaceae_201,1,3839.67,
202,Ornithinimicrobiaceae_202,1,3406.5,
203,Intrasporangiaceae_203,1,3710,
204,Dermatophilaceae_204,1,,
205,Kytococcaceae_205,1,2692,
206,Dermacoccaceae_206,1,5225,
207,Dermatophilaceae_207,1,,
208,Sanguibacteraceae_208,1,3800,
209,Rarobacteraceae_209,1,,
210,Micrococcaceae_210,1,3758.17,
211,Micrococcaceae_211,1,3758.17,
212,Demequinaceae_212,1,,
213,Dermabacteraceae_213,1,2825.75,
214,Micrococcaceae_214,1,3758.17,
215,Brevibacteriaceae_215,1,,
216,Microbacteriaceae_216,1,3069.35,
217,Motilibacteraceae_217,1,,
218,Rubrobacteraceae_218,1,,
219,Gaiellaceae_219,1,,
220,Solirubrobacteraceae_220,1,,
221,Patulibacteraceae_221,1,,
222,Conexibacteraceae_222,1,6001,
223,Thermoleophilaceae_223,1,,
224,Actinomycetaceae_224,1,2196.89,
225,Atopobiaceae_225,1,1631.5,
226,Actinomycetaceae_226,1,,
227,Jatrophihabitantaceae_227,1,,
228,Acidothermaceae_228,1,2229,
229,Glycomycetaceae_229,1,6541,
230,Micromonosporaceae_230,1,,
231,Jiangellaceae_231,1,,
232,Geodermatophilaceae_232,1,5155,
233,Catenulisporaceae_233,1,9125,
234,Actinospicaceae_234,1,,
