cell,species,cell_types,genes,genome
710,Kewaceae_710,30,,
711,Corbichoniaceae_711,30,,
712,Basellaceae_712,30,,
713,Didiereaceae_713,30,,
714,Montiaceae_714,30,,
715,Halophytaceae_715,30,,
716,Anacampserotaceae_716,30,,
717,Cactaceae_717,30,,
718,Portulacaceae_718,30,,
719,Talinaceae_719,30,,
720,Molluginaceae_720,30,,
721,Limeaceae_721,30,,
722,Chenopodiaceae_722,30,,452.68
723,Chenopodiaceae_723,30,,
724,Amaranthaceae_724,30,,417.46
725,Achatocarpaceae_725,30,,
726,Caryophyllaceae_726,30,,2598.31
727,Macarthuriaceae_727,30,,
728,Microteaceae_728,30,,
729,Stegnospermataceae_729,30,,
730,Physenaceae_730,30,,
731,Asteropeiaceae_731,30,,
732,Simmondsiaceae_732,30,,
733,Rhabdodendraceae_733,30,,
734,Dilleniaceae_734,30,,
735,Curtisiaceae_735,30,,
736,Grubbiaceae_736,30,,
737,Cornaceae_737,30,,
738,Hydrangeaceae_738,30,,
739,Loasaceae_739,30,,
740,Hydrostachyaceae_740,30,,
741,Nyssaceae_741,30,,
742,Oncothecaceae_742,30,,
743,Garryaceae_743,30,,
744,Eucommiaceae_744,30,,
745,Metteniusaceae_745,30,,
746,Mazaceae_746,30,,
747,Lentibulariaceae_747,30,,304.54
748,Acanthaceae_748,30,,457.34
749,Bignoniaceae_749,30,,
750,Thomandersiaceae_750,30,,
751,Verbenaceae_751,30,,
752,Schlegeliaceae_752,30,,
753,Pedaliaceae_753,30,,
754,Paulowniaceae_754,30,,
755,Orobanchaceae_755,30,,471.56
756,Phrymaceae_756,30,28140,
757,Lamiaceae_757,30,,547.23
758,Plantaginaceae_758,30,,2.63
759,Stilbaceae_759,30,,284.51
760,Tetrachondraceae_760,30,,
761,Byblidaceae_761,30,,
762,Linderniaceae_762,30,,
763,Martyniaceae_763,30,,
764,Scrophulariaceae_764,30,,
765,Gesneriaceae_765,30,,
766,Calceolariaceae_766,30,,
767,Carlemanniaceae_767,30,,
768,Oleaceae_768,30,,926.43
769,Plocospermataceae_769,30,,
770,Convolvulaceae_770,30,,
771,Solanaceae_771,30,24377,3215.61
772,Hydroleaceae_772,30,,
773,Sphenocleaceae_773,30,,
774,Montiniaceae_774,30,,
775,Ehretiaceae_775,30,,
776,Lennoaceae_776,30,,
777,Coldeniaceae_777,30,,
778,Cordiaceae_778,30,,
779,Hoplestigmataceae_779,30,,
780,Heliotropiaceae_780,30,,
781,Namaceae_781,30,,
782,Hydrophyllaceae_782,30,,
783,Wellstediaceae_783,30,,
784,Boraginaceae_784,30,,
785,Codonaceae_785,30,,
786,Loganiaceae_786,30,,284.51
787,Gelsemiaceae_787,30,,
788,Apocynaceae_788,30,,
789,Gentianaceae_789,30,,
790,Rubiaceae_790,30,,
791,Vahliaceae_791,30,,
792,Icacinaceae_792,30,,
793,Paracryphiaceae_793,30,,
794,Caprifoliaceae_794,30,,
795,Linnaeaceae_795,30,,
796,Morinaceae_796,30,,
797,Dipsacaceae_797,30,,
798,Valerianaceae_798,30,,
799,Adoxaceae_799,30,,
800,Pennantiaceae_800,30,,
801,Griseliniaceae_801,30,,
802,Pittosporaceae_802,30,,
803,Myodocarpaceae_803,30,,568.61
804,Apiaceae_804,30,,3332.58
805,Araliaceae_805,30,,
806,Torricelliaceae_806,30,,
807,Columelliaceae_807,30,,
808,Bruniaceae_808,30,,
809,Escalloniaceae_809,30,,
810,Escalloniaceae_810,30,,
811,Polyosmaceae_811,30,,
812,Calyceraceae_812,30,,629.66
813,Asteraceae_813,30,,
814,Goodeniaceae_814,30,,
815,Menyanthaceae_815,30,,
816,Phellinaceae_816,30,,
817,Argophyllaceae_817,30,,
818,Alseuosmiaceae_818,30,,
819,Campanulaceae_819,30,,
820,Rousseaceae_820,30,,
821,Stylidiaceae_821,30,,
822,Pentaphragmataceae_822,30,,
823,Helwingiaceae_823,30,,
824,Phyllonomaceae_824,30,,
825,Aquifoliaceae_825,30,,
826,Stemonuraceae_826,30,,
827,Cardiopteridaceae_827,30,,
828,Myrsinaceae_828,30,,293.6
829,Primulaceae_829,30,,
830,Theophrastaceae_830,30,,
831,Sapotaceae_831,30,,
832,Ebenaceae_832,30,,
833,Cyrillaceae_833,30,,
834,Ericaceae_834,30,,
835,Clethraceae_835,30,,
836,Roridulaceae_836,30,,
837,Actinidiaceae_837,30,,
838,Sarraceniaceae_838,30,,
839,Diapensiaceae_839,30,,
840,Styracaceae_840,30,,
841,Symplocaceae_841,30,,
842,Theaceae_842,30,,
843,Sladeniaceae_843,30,,
844,Pentaphylacaceae_844,30,,469.8
845,Fouquieriaceae_845,30,,
846,Polemoniaceae_846,30,,
847,Lecythidaceae_847,30,,
848,Tetrameristaceae_848,30,,
849,Balsaminaceae_849,30,,
850,Marcgraviaceae_850,30,,
851,Mitrastemonaceae_851,30,,
852,Aptandraceae_852,30,,
853,Erythropalaceae_853,30,,
854,Aptandraceae_854,30,,
855,Amphorogynaceae_855,30,,
856,Viscaceae_856,30,,
857,Santalaceae_857,30,,
858,Comandraceae_858,30,,
859,Thesiaceae_859,30,,
860,Cervantesiaceae_860,30,,
861,Opiliaceae_861,30,,
862,Misodendraceae_862,30,,
863,Schoepfiaceae_863,30,,
864,Loranthaceae_864,30,,
865,Ximeniaceae_865,30,,
866,Olacaceae_866,30,,
867,Coulaceae_867,30,,
868,Vitaceae_868,30,24954,
869,Leeaceae_869,30,,
870,Onagraceae_870,30,,
871,Lythraceae_871,30,,
872,Combretaceae_872,30,,
873,Alzateaceae_873,30,,
874,Penaeaceae_874,30,,
875,Crypteroniaceae_875,30,,
876,Melastomataceae_876,30,,
877,Vochysiaceae_877,30,,357.62
878,Myrtaceae_878,30,,
879,Geraniaceae_879,30,,
880,Francoaceae_880,30,,
881,Neuradaceae_881,30,,
882,Cytinaceae_882,30,,
883,Muntingiaceae_883,30,,
884,Dipterocarpaceae_884,30,,
885,Sarcolaenaceae_885,30,,
886,Cistaceae_886,30,,
887,Bixaceae_887,30,,
888,Malvaceae_888,30,37505,
889,Sphaerosepalaceae_889,30,,3111.49
890,Thymelaeaceae_890,30,,699.79
891,Cleomaceae_891,30,,2226.97
892,Brassicaceae_892,30,28840.71,119.67
893,Capparaceae_893,30,,
894,Resedaceae_894,30,,
895,Gyrostemonaceae_895,30,,
896,Tovariaceae_896,30,,
897,Moringaceae_897,30,,
898,Caricaceae_898,30,,
899,Pentadiplandraceae_899,30,,
900,Emblingiaceae_900,30,,
901,Bataceae_901,30,,
902,Salvadoraceae_902,30,,
903,Koeberliniaceae_903,30,,
904,Limnanthaceae_904,30,,
905,Setchellanthaceae_905,30,,
906,Tropaeolaceae_906,30,,
907,Akaniaceae_907,30,,
908,Dipentodontaceae_908,30,,
909,Tapisciaceae_909,30,,
910,Gerrardinaceae_910,30,,
911,Biebersteiniaceae_911,30,,
912,Nitrariaceae_912,30,,
913,Sapindaceae_913,30,,665.89
914,Burseraceae_914,30,,
915,Anacardiaceae_915,30,,
916,Simaroubaceae_916,30,,
917,Rutaceae_917,30,,
918,Meliaceae_918,30,,
919,Picramniaceae_919,30,,
920,Ixerbaceae_920,30,,
921,Geissolomataceae_921,30,,
922,Strasburgeriaceae_922,30,,
923,Aphloiaceae_923,55,,
924,Stachyuraceae_924,30,,
925,Crossosomataceae_925,30,,
926,Guamatelaceae_926,30,,
927,Staphyleaceae_927,30,,
928,Zygophyllaceae_928,30,,
929,Krameriaceae_929,30,,880.09
930,Elaeocarpaceae_930,30,,
931,Cunoniaceae_931,30,,
932,Brunelliaceae_932,30,,
933,Cephalotaceae_933,30,,
934,Connaraceae_934,30,,
935,Oxalidaceae_935,30,,
936,Trigoniaceae_936,30,,
937,Dichapetalaceae_937,30,,
938,Euphroniaceae_938,30,,
939,Chrysobalanaceae_939,30,,
940,Balanopaceae_940,30,,
941,Linaceae_941,30,,496.03
942,Irvingiaceae_942,30,,
943,Caryocaraceae_943,30,,
944,Medusagynaceae_944,30,,
945,Ochnaceae_945,30,,
946,Quiinaceae_946,30,,
947,Elatinaceae_947,30,,
948,Malpighiaceae_948,30,,
949,Ixonanthaceae_949,30,,
950,Lacistemataceae_950,30,,388.37
951,Salicaceae_951,30,39922,
952,Violaceae_952,30,,
953,Passifloraceae_953,30,,
954,Peraceae_954,30,,212.17
955,Euphorbiaceae_955,30,9134.5,1373.53
956,Rafflesiaceae_956,30,,
957,Hypericaceae_957,30,,
958,Podostemaceae_958,30,,
959,Calophyllaceae_959,30,,
960,Bonnetiaceae_960,30,,
961,Clusiaceae_961,30,,
962,Phyllanthaceae_962,30,,
963,Picrodendraceae_963,30,,
964,Goupiaceae_964,30,,
965,Erythroxylaceae_965,30,,
966,Rhizophoraceae_966,30,,
967,Ctenolophonaceae_967,30,,
968,Achariaceae_968,30,,
969,Lophopyxidaceae_969,30,,
970,Putranjivaceae_970,30,,
971,Centroplacaceae_971,30,,
972,Pandaceae_972,30,,
973,Humiriaceae_973,30,,
974,Huaceae_974,30,,
975,Lepidobotryaceae_975,30,,
976,Parnassiaceae_976,30,,
977,Celastraceae_977,30,,
978,Apodanthaceae_978,30,,
979,Tetramelaceae_979,30,,
980,Begoniaceae_980,30,,
981,Datiscaceae_981,30,,
982,Cucurbitaceae_982,30,,269.94
983,Corynocarpaceae_983,30,,
984,Coriariaceae_984,30,,913.97
985,Anisophylleaceae_985,30,,
986,Nothofagaceae_986,30,,
987,Betulaceae_987,30,,564.01
988,Ticodendraceae_988,30,,
989,Casuarinaceae_989,30,,
990,Myricaceae_990,30,,
991,Juglandaceae_991,30,,
992,Fagaceae_992,30,,814.34
993,Urticaceae_993,30,,
994,Moraceae_994,30,,
995,Cannabaceae_995,30,,876.15
996,Ulmaceae_996,30,,
997,Elaeagnaceae_997,30,,
998,Dirachmaceae_998,30,,
999,Barbeyaceae_999,30,,
1000,Rhamnaceae_1000,30,,
1001,Rosaceae_1001,30,,703.36
1002,Polygalaceae_1002,30,,
1003,Quillajaceae_1003,30,,
1004,Surianaceae_1004,30,,
1005,Fabaceae_1005,30,,
1006,Cercidiphyllaceae_1006,30,,
1007,Altingiaceae_1007,30,,
1008,Penthoraceae_1008,30,,
1009,Haloragaceae_1009,30,,
1010,Tetracarpaeaceae_1010,30,,
1011,Aphanopetalaceae_1011,30,,
1012,Crassulaceae_1012,30,,
1013,Grossulariaceae_1013,30,,
1014,Saxifragaceae_1014,30,,
1015,Iteaceae_1015,30,,
1016,Daphniphyllaceae_1016,30,,
1017,Hamamelidaceae_1017,30,,
1018,Paeoniaceae_1018,30,,302.25
1019,Cynomoriaceae_1019,30,,
1020,Peridiscaceae_1020,30,,
1021,Strombosiaceae_1021,30,,
1022,Buxaceae_1022,30,,
1023,Trochodendraceae_1023,30,,1161.36
1024,Platanaceae_1024,30,,
1025,Proteaceae_1025,30,,
1026,Nelumbonaceae_1026,30,,804.65
1027,Papaveraceae_1027,30,,
1028,Circaeasteraceae_1028,30,,
1029,Lardizabalaceae_1029,30,,
1030,Berberidaceae_1030,30,,
1031,Ranunculaceae_1031,30,24823,935.66
1032,Menispermaceae_1032,30,,
1033,Eupteleaceae_1033,30,,
1034,Ceratophyllaceae_1034,30,,
1035,Acoraceae_1035,30,,
1036,Petrosaviaceae_1036,30,,
1037,Dasypogonaceae_1037,30,,
1038,Hanguanaceae_1038,30,,
1039,Commelinaceae_1039,30,,
1040,Pontederiaceae_1040,30,,
1041,Haemodoraceae_1041,30,,
1042,Philydraceae_1042,30,,
1043,Musaceae_1043,30,,710.15
1044,Lowiaceae_1044,30,,
1045,Strelitziaceae_1045,30,,
1046,Heliconiaceae_1046,30,,
1047,Zingiberaceae_1047,30,,
1048,Costaceae_1048,30,,
1049,Cannaceae_1049,30,,
1050,Marantaceae_1050,30,,
1051,Typhaceae_1051,30,,
1052,Bromeliaceae_1052,30,,
1053,Juncaceae_1053,30,,
1054,Cyperaceae_1054,30,,
1055,Thurniaceae_1055,30,,
1056,Mayacaceae_1056,30,,
1057,Rapateaceae_1057,30,,
1058,Xyridaceae_1058,30,,
1059,Eriocaulaceae_1059,30,,
1060,Ecdeiocoleaceae_1060,30,,299.06
1061,Poaceae_1061,30,67746,
1062,Joinvilleaceae_1062,30,,
1063,Flagellariaceae_1063,30,,
1064,Restionaceae_1064,30,,
1065,Arecaceae_1065,30,,
1066,Asparagaceae_1066,30,,
1067,Asparagaceae_1067,30,,
1068,Hyacinthaceae_1068,30,,
1069,Asparagaceae_1069,30,,
1070,Amaryllidaceae_1070,30,,
1071,Asphodelaceae_1071,30,,
1072,Xeronemataceae_1072,30,,
1073,Iridaceae_1073,30,,
1074,Doryanthaceae_1074,30,,295.46
1075,Ixioliriaceae_1075,30,,
1076,Tecophilaeaceae_1076,30,,
1077,Lanariaceae_1077,30,,
1078,Hypoxidaceae_1078,30,,
1079,Asteliaceae_1079,30,,
1080,Blandfordiaceae_1080,30,,
1081,Boryaceae_1081,30,,
1082,Orchidaceae_1082,30,,
1083,Corsiaceae_1083,30,,
1084,Campynemataceae_1084,30,,
1085,Smilacaceae_1085,30,,
1086,Liliaceae_1086,30,,
1087,Smilacaceae_1087,30,,
1088,Philesiaceae_1088,30,,
1089,Ripogonaceae_1089,30,,
1090,Alstroemeriaceae_1090,30,,
1091,Colchicaceae_1091,30,,
1092,Petermanniaceae_1092,30,,
1093,Luzuriagaceae_1093,30,,
1094,Melanthiaceae_1094,30,,
1095,Velloziaceae_1095,30,,
1096,Cyclanthaceae_1096,30,,
1097,Pandanaceae_1097,30,,
1098,Stemonaceae_1098,30,,
1099,Triuridaceae_1099,30,,
1100,Burmanniaceae_1100,30,,584.31
1101,Taccaceae_1101,30,,
1102,Burmanniaceae_1102,30,,584.31
1103,Dioscoreaceae_1103,30,,
1104,Thismiaceae_1104,30,,
1105,Thismiaceae_1105,30,,
1106,Burmanniaceae_1106,30,,584.31
1107,Nartheciaceae_1107,30,,
1108,Butomaceae_1108,30,,
1109,Hydrocharitaceae_1109,30,,
1110,Limnocharitaceae_1110,30,,
1111,Alismataceae_1111,30,,
1112,Posidoniaceae_1112,30,,
1113,Cymodoceaceae_1113,30,,
1114,Zosteraceae_1114,30,,
1115,Potamogetonaceae_1115,30,,
1116,Maundiaceae_1116,30,,
1117,Juncaginaceae_1117,30,,
1118,Scheuchzeriaceae_1118,30,,
1119,Aponogetonaceae_1119,30,,1816.95
1120,Araceae_1120,30,19623,
1121,Ruppiaceae_1121,30,,
1122,Tofieldiaceae_1122,30,,
1123,Chloranthaceae_1123,30,,
1124,Monimiaceae_1124,30,,
1125,Lauraceae_1125,30,,1325.68
1126,Hernandiaceae_1126,30,,
1127,Gomortegaceae_1127,30,,
1128,Atherospermataceae_1128,30,,
1129,Siparunaceae_1129,30,,
1130,Calycanthaceae_1130,30,,
1131,Magnoliaceae_1131,30,,
1132,Himantandraceae_1132,30,,
1133,Degeneriaceae_1133,30,,
1134,Eupomatiaceae_1134,30,,
1135,Annonaceae_1135,30,,
1136,Myristicaceae_1136,30,,
1137,Winteraceae_1137,30,,
1138,Canellaceae_1138,30,,
1139,Aristolochiaceae_1139,30,,
1140,Saururaceae_1140,30,,
1141,Piperaceae_1141,30,,
1142,Austrobaileyaceae_1142,30,,
1143,Trimeniaceae_1143,30,,
1144,Schisandraceae_1144,30,,
1145,Hydatellaceae_1145,30,,
1146,Cabombaceae_1146,30,,
1147,Nymphaeaceae_1147,30,,
1148,Pinaceae_1148,30,,
1149,Ephedraceae_1149,30,,
1150,Gnetaceae_1150,30,,
1151,Welwitschiaceae_1151,30,,12342.1
1152,Podocarpaceae_1152,30,,
1153,Araucariaceae_1153,30,,
1154,Sciadopityaceae_1154,30,,
1155,Taxaceae_1155,30,,10738.3
1156,Cupressaceae_1156,30,,
1157,Ginkgoaceae_1157,30,,456.81
1158,Zamiaceae_1158,30,,
1159,Zamiaceae_1159,30,,
1160,Cycadaceae_1160,30,,
1161,Zamiaceae_1161,30,,
1162,Cycadaceae_1162,30,,
1163,Psilotaceae_1163,30,,
1164,Ophioglossaceae_1164,30,,
1165,Equisetaceae_1165,30,,
1166,Marattiaceae_1166,30,,
1167,Osmundaceae_1167,30,,
1168,Hymenophyllaceae_1168,30,,
1169,Gleicheniaceae_1169,30,,
1170,Dipteridaceae_1170,30,,
1171,Matoniaceae_1171,30,,
1172,Rhachidosoraceae_1172,30,,
1173,Blechnaceae_1173,30,,
1174,Onocleaceae_1174,30,,
1175,Athyriaceae_1175,30,,
1176,Woodsiaceae_1176,30,,
1177,Thelypteridaceae_1177,30,,
1178,Diplaziopsidaceae_1178,30,,
1179,Hemidictyaceae_1179,30,,
1180,Aspleniaceae_1180,30,,
1181,Cystopteridaceae_1181,30,,
1182,Tectariaceae_1182,30,,
1183,Pteridryaceae_1183,30,,
1184,Tectariaceae_1184,30,,
1185,Davalliaceae_1185,30,,
1186,Polypodiaceae_1186,30,,
1187,Oleandraceae_1187,30,,
1188,Nephrolepidaceae_1188,30,,
1189,Lomariopsidaceae_1189,30,,
1190,Dryopteridaceae_1190,30,,
1191,Didymochlaenaceae_1191,30,,
1192,Hypodematiaceae_1192,30,,
1193,Dennstaedtiaceae_1193,30,,
1194,Pteridaceae_1194,30,,
1195,Saccolomataceae_1195,30,,
1196,Cystodiaceae_1196,30,,
1197,Lonchitidaceae_1197,30,,
1198,Lindsaeaceae_1198,30,,
1199,Culcitaceae_1199,30,,
1200,Plagiogyriaceae_1200,30,,
1201,Loxsomataceae_1201,30,,
1202,Thyrsopteridaceae_1202,30,,
1203,Metaxyaceae_1203,30,,
1204,Dicksoniaceae_1204,30,,
1205,Cibotiaceae_1205,30,,
1206,Cyatheaceae_1206,30,,
1207,Marsileaceae_1207,30,,
1208,Salviniaceae_1208,30,,
1209,Lygodiaceae_1209,30,,
1210,Anemiaceae_1210,30,,
1211,Schizaeaceae_1211,30,,
1212,Anthocerotaceae_1212,30,,
1213,Notothyladaceae_1213,30,,
1214,Phymatocerotaceae_1214,30,,
1215,Dendrocerotaceae_1215,30,,
1216,Leiosporocerotaceae_1216,30,,
1217,Ambuchananiaceae_1217,11,,
1218,Andreaeaceae_1218,11,,
1219,Oedipodiaceae_1219,11,,
1220,Polytrichaceae_1220,11,,
1221,Orthotrichaceae_1221,11,,
1222,Catoscopiaceae_1222,11,,
1223,Bryaceae_1223,11,,
1224,Mniaceae_1224,11,,
1225,Phyllodrepaniaceae_1225,11,,
1226,Leptostomataceae_1226,11,,
1227,Aulacomniaceae_1227,11,,
1228,Helicophyllaceae_1228,7,,
1229,Rhacocarpaceae_1229,11,,0.7
1230,Hedwigiaceae_1230,11,,
1231,Rhizogoniaceae_1231,11,,
1232,Orthodontiaceae_1232,11,,
1233,Racopilaceae_1233,11,,
1234,Pterobryellaceae_1234,11,,
1235,Hypnodendraceae_1235,11,,
1236,Braithwaiteaceae_1236,11,,
1237,Daltoniaceae_1237,11,,
1238,Pilotrichaceae_1238,11,,
1239,Hookeriaceae_1239,11,,
1240,Schimperobryaceae_1240,11,,
1241,Leucomiaceae_1241,11,,
1242,Daltoniaceae_1242,11,,
1243,Saulomataceae_1243,11,,
1244,Hypopterygiaceae_1244,11,,
1245,Leucodontaceae_1245,11,,
1246,Hypnaceae_1246,11,,
1247,Climaciaceae_1247,11,,
1248,Hypnaceae_1248,11,,
1249,Fabroniaceae_1249,11,,
1250,Cryphaeaceae_1250,11,,
1251,Phyllogoniaceae_1251,11,,
1252,Orthorrhynchiaceae_1252,11,,
1253,Prionodontaceae_1253,11,,
1254,Meteoriaceae_1254,11,,
1255,Plagiotheciaceae_1255,11,,
1256,Pterobryaceae_1256,11,,
1257,Brachytheciaceae_1257,11,,
1258,Hylocomiaceae_1258,11,,
1259,Myuriaceae_1259,11,,
1260,Fontinalaceae_1260,11,,
1261,Helodiaceae_1261,11,,
1262,Miyabeaceae_1262,11,,
1263,Symphyodontaceae_1263,11,,
1264,Thuidiaceae_1264,11,,
1265,Regmatodontaceae_1265,11,,
1266,Entodontaceae_1266,11,,
1267,Rhytidiaceae_1267,11,,
1268,Sematophyllaceae_1268,11,,
1269,Pylaisiadelphaceae_1269,11,,
1270,Pylaisiaceae_1270,11,,
1271,Amblystegiaceae_1271,11,,
1272,Catagoniaceae_1272,11,,
1273,Trachylomataceae_1273,11,,
1274,Leptodontaceae_1274,11,,
1275,Neckeraceae_1275,11,,
1276,Anomodontaceae_1276,11,,
1277,Pterigynandraceae_1277,11,,
1278,Echinodiaceae_1278,11,,
1279,Lembophyllaceae_1279,11,,
1280,Theliaceae_1280,11,,
1281,Lepyrodontaceae_1281,11,,
1282,Rutenbergiaceae_1282,11,,
1283,Stereophyllaceae_1283,11,,
1284,Ptychomniaceae_1284,11,,
1285,Bartramiaceae_1285,11,,
1286,Meesiaceae_1286,11,,
1287,Splachnaceae_1287,11,,
1288,Ditrichaceae_1288,11,,362.51
1289,Archidiaceae_1289,11,,
1290,Bryoxiphiaceae_1290,11,,
1291,Eustichiaceae_1291,11,,
1292,Fissidentaceae_1292,11,,
1293,Calymperaceae_1293,11,,
1294,Dicranaceae_1294,11,,
1295,Rhabdoweisiaceae_1295,11,,
1296,Schistostegaceae_1296,11,,
1297,Rhachitheciaceae_1297,11,,
1298,Bruchiaceae_1298,11,,
1299,Erpodiaceae_1299,11,,
1300,Leucobryaceae_1300,11,,
1301,Pottiaceae_1301,11,,
1302,Serpotortellaceae_1302,11,,
1303,Mitteniaceae_1303,11,,
1304,Pleurophascaceae_1304,11,,
1305,Scouleriaceae_1305,11,,
1306,Seligeriaceae_1306,11,,
1307,Grimmiaceae_1307,11,,
1308,Ptychomitriaceae_1308,11,,
1309,Gigaspermaceae_1309,11,,
1310,Encalyptaceae_1310,11,,
1311,Funariaceae_1311,11,,
1312,Disceliaceae_1312,11,,
1313,Timmiaceae_1313,11,,
1314,Diphysciaceae_1314,11,,
1315,Buxbaumiaceae_1315,11,,
1316,Tetraphidaceae_1316,11,,
1317,Andreaeobryaceae_1317,11,,
1318,Sphagnaceae_1318,11,,
1319,Takakiaceae_1319,11,,
1320,Zygnemataceae_1320,7,,
1321,Desmidiaceae_1321,7,,
1322,Characeae_1322,7,,1751.21
1323,Coleochaetales_1323,7,,
1324,Chlorokybaceae_1324,7,,74.33
1325,Mesostigmataceae_1325,7,,441.7
1326,Porphyridiaceae_1326,7,,
1327,Bangiaceae_1327,7,,
1328,Thoreaceae_1328,7,,
1329,Hildenbrandiaceae_1329,7,,
1330,Rhodachlyaceae_1330,7,,
1331,Acrochaetiaceae_1331,7,,
1332,Palmariaceae_1332,7,,
1333,Balliaceae_1333,7,,
1334,Balbianiaceae_1334,7,,
1335,Nemaliaceae_1335,7,,
1336,Colaconemataceae_1336,7,,104.98
1337,Batrachospermaceae_1337,7,,
1338,Ahnfeltiaceae_1338,7,,53.26
1339,Sebdeniaceae_1339,7,,
1340,Lomentariaceae_1340,7,,
1341,Fryeellaceae_1341,7,,
1342,Champiaceae_1342,7,,
1343,Faucheaceae_1343,7,,
1344,Rhodymeniaceae_1344,7,,
1345,Halymeniaceae_1345,7,,
1346,Plocamiaceae_1346,7,,
1347,Sarcodiaceae_1347,7,,
1348,Schimmelmanniaceae_1348,7,,
1349,Acrosymphytaceae_1349,7,,
1350,Schizymeniaceae_1350,7,,
1351,Nemastomataceae_1351,7,,
1352,Spyridiaceae_1352,7,,
1353,Delesseriaceae_1353,7,,
1354,Dasyaceae_1354,7,,
1355,Delesseriaceae_1355,7,,
1356,Ceramiaceae_1356,7,,
1357,Rhodomelaceae_1357,7,,
1358,Callithamniaceae_1358,7,,
1359,Peyssonneliaceae_1359,7,,
1360,Kallymeniaceae_1360,7,,
1361,Dumontiaceae_1361,7,,
1362,Endocladiaceae_1362,7,,
1363,Mychodeaceae_1363,7,,
1364,Hypneaceae_1364,7,,
1365,Phyllophoraceae_1365,7,,47.81
1366,Gigartinaceae_1366,7,,
1367,Gracilariaceae_1367,7,,
1368,Gelidiaceae_1368,7,,
1369,Bonnemaisoniaceae_1369,7,,
1370,Naccariaceae_1370,7,,
1371,Rhodogorgonaceae_1371,7,,
1372,Mesophyllumaceae_1372,7,,
1373,Hapalidiaceae_1373,7,,
1374,Corallinaceae_1374,7,,
1375,Porolithaceae_1375,7,,
1376,Porolithaceae_1376,7,,
1377,Lithophyllaceae_1377,7,,
1378,Porolithaceae_1378,7,,
1379,Sporolithaceae_1379,7,,
1380,Porphyridiaceae_1380,7,,
1381,Stylonemataceae_1381,7,,
1382,Compsopogonaceae_1382,7,,
1383,Rhodochaetaceae_1383,7,,22.19
1384,Rhodellophyceae_1384,7,,
1385,Cyanidiaceae_1385,7,,12.07
1386,Cyanophoraceae_1386,3,,
1387,Glaucocystaceae_1387,3,,
1388,Archaeosporaceae_1388,7,,
1389,Ambisporaceae_1389,7,,
1390,Geosiphonaceae_1390,7,,
1391,Paraglomeraceae_1391,7,,
1392,Glomeraceae_1392,7,30282,773.1
1393,Glomeraceae_1393,7,30282,773.1
1394,Claroideoglomeraceae_1394,7,,
1395,Acaulosporaceae_1395,7,,34.17
1396,Diversisporaceae_1396,7,,
1397,Pacisporaceae_1397,7,,156.58
1398,Gigasporaceae_1398,7,,
1399,Bartheletiaceae_1399,7,,
1400,Wallemiaceae_1400,7,5284,10.7
1401,Cystofilobasidiaceae_1401,7,,20.7
1402,Mrakiaceae_1402,7,,30.48
1403,Tremellaceae_1403,7,8313,
1404,Cryptococcaceae_1404,7,7084.8,17.89
1405,Jaapiaceae_1405,7,16419,45.05
1406,Amylocorticiaceae_1406,7,13626,99.33
1407,Physalacriaceae_1407,7,14108,66.71
1408,Agaricaceae_1408,7,12509.33,91.18
1409,Agaricaceae_1409,7,12509.33,91.18
1410,Lycoperdaceae_1410,7,,33.85
1411,Agaricaceae_1411,7,12509.33,91.18
1412,Mycenaceae_1412,7,15860,35.65
1413,Psathyrellaceae_1413,7,13370,60.61
1414,Tricholomataceae_1414,7,18886.5,50.53
1415,Porotheleaceae_1415,7,,
1416,Schizophyllaceae_1416,7,14999.25,49.87
1417,Marasmiaceae_1417,7,16862,59.45
1418,Omphalotaceae_1418,7,25694,
1419,Cyphellaceae_1419,7,,36.93
1420,Pleurotaceae_1420,7,12268,35.72
1421,Lyophyllaceae_1421,7,,34.16
1422,Entolomataceae_1422,7,,
1423,Hygrophoraceae_1423,7,,70.47
1424,Hygrophoraceae_1424,7,,70.47
1425,Pluteaceae_1425,7,,
1426,Clavariaceae_1426,7,,
1427,Amanitaceae_1427,7,3899.5,
1428,Pluteaceae_1428,7,,
1429,Physalacriaceae_1429,7,14108,66.71
1430,Niaceae_1430,7,,
1431,Fistulinaceae_1431,7,11244,
1432,Nidulariaceae_1432,7,,
1433,Radulomycetaceae_1433,7,,
1434,Pseudoclitocybaceae_1434,7,,103.54
1435,Inocybaceae_1435,7,,33.27
1436,Crepidotaceae_1436,7,,38.58
1437,Tubariaceae_1437,7,,152.55
1438,Cortinariaceae_1438,7,17980.33,44.79
1439,Bolbitiaceae_1439,7,,
1440,Strophariaceae_1440,7,17911,75.01
1441,Catathelasmataceae_1441,7,,40.7
1442,Callistosporiaceae_1442,7,,39.34
1443,Callistosporiaceae_1443,7,,39.34
1444,Callistosporiaceae_1444,7,,39.34
1445,Catathelasmataceae_1445,7,,
1446,Atheliaceae_1446,7,27264.5,
1447,Gyrodontaceae_1447,7,11779,43.05
1448,Paxillaceae_1448,7,16745.67,35.76
1449,Serpulaceae_1449,7,13642,
1450,Tapinellaceae_1450,7,,
1451,Coniophoraceae_1451,7,13761,
1452,Hygrophoropsidaceae_1452,7,,37.67
1453,Calostomataceae_1453,7,,
1454,Sclerodermataceae_1454,7,21012,
1455,Pisolithaceae_1455,7,21882.5,
1456,Sclerodermataceae_1456,7,21012,42.8
